LdSpp,eco_boundary,AIDBSPP,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Bigleaf maple,Taiga Plains,Bigleaf maple,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Red maple,Taiga Plains,Red maple,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Sugar maple,Taiga Plains,Sugar maple,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Alder,Taiga Plains,Alder,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Red alder,Taiga Plains,Red alder,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Yellow birch,Taiga Plains,Yellow birch,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
White birch,Taiga Plains,White birch,0,0.0037,1.6222,12.3672,34.1467,62.8051,94.2813,126.0224,156.6623,185.557,212.4651,237.3587,260.3174,281.4701,300.9638,318.9471,335.5618,350.9392,365.1985,378.4473,390.7817
Cedar,Taiga Plains,Cedar,0,0.0,0.0,0.0,0.0004,0.0054,0.0314,0.1103,0.2827,0.5879,1.0561,1.7056,2.5429,3.5654,4.7634,6.1228,7.627,9.2584,10.9992,12.8325,14.7424
Black ash,Taiga Plains,Black ash,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Tamarack,Taiga Plains,Tamarack,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Western larch,Taiga Plains,Western larch,0,0.0071,2.1661,14.5575,37.7393,66.8372,97.8365,128.4407,157.5266,184.6312,209.636,232.5935,253.6339,272.9171,290.6084,306.8658,321.8354,335.6492,348.425,360.2677,371.2699
Norway spruce,Taiga Plains,Norway spruce,0,0.0001,0.1534,1.947,6.9356,14.8634,24.7063,35.5175,46.6304,57.6266,68.2631,78.4104,88.0097,97.0444,105.5232,113.4684,120.9097,127.8798,134.412,140.539,146.2917
